Mainland_Nearshore_North,Mainland_Nearshore_South,Channel_Islands_North,Channel_Islands_South,Offshore_North,Offshore_South
631,720,691,762,895,745
632,719,690,761,771,744
637,718,689,760,772,764
644,739,688,806,773,811
643,738,687,807,774,810
659,737,686,808,775,809
658,757,685,742,747,832
657,756,684,829,748,831
656,802,707,850,749,896
655,801,708,868,750,858
654,822,709,867,751,857
653,821,710,866,752,856
652,842,711,848,753,855
651,860,712,849,754,854
672,859,713,828,755,853
671,878,814,765,777,852
670,877,813,743,1033,876
669,901,769,763,725,875
668,902,731,830,726,874
667,903,730,851,727,873
666,904,815,827,728,872
665,916,812,,729,871
664,741,835,,732,870
683,740,834,,733,869
706,758,768,,734,894
682,803,767,,735,893
705,823,714,,736,892
622,843,,,715,891
623,861,,,716,890
624,879,,,717,889
614,721,,,776,888
615,701,,,1034,887
616,702,,,692,886
607,678,,,693,885
608,679,,,694,884
601,680,,,695,883
609,703,,,696,882
602,681,,,697,881
603,704,,,677,880
560,,,,676,759
561,,,,675,805
562,,,,674,804
638,,,,673,826
,,,,660,825
,,,,661,824
,,,,662,847
,,,,663,846
,,,,1035,845
,,,,1036,844
,,,,650,865
,,,,648,864
,,,,647,863
,,,,646,862
,,,,645,897
,,,,639,722
,,,,640,723
,,,,641,724
,,,,642,950
,,,,633,
,,,,634,
,,,,635,
,,,,636,
,,,,625,
,,,,626,
,,,,627,
,,,,628,
,,,,629,
,,,,630,
,,,,617,
,,,,618,
,,,,619,
,,,,620,
,,,,621,
,,,,610,
,,,,611,
,,,,612,
,,,,613,
,,,,604,
,,,,605,
,,,,606,
,,,,649,
,,,,563,
,,,,564,
,,,,565,
,,,,566,
,,,,567,
,,,,746,
,,,,770,
,,,,766,
,,,,839,
,,,,818,
,,,,833,
,,,,816,
,,,,820,
,,,,837,
,,,,819,
,,,,817,
,,,,838,
,,,,836,
,,,,840,
,,,,841,